label,definition,comment,exactSynonym,broadSynonym,narrowSynonym,relatedSynonym,subsetType,uri
planetary photic zone,"A planetary part which is exposed, at least periodically, to light.","In some literature, the term photosphere is used; however, this is more correctly reserved for a part of a star.",,,,photosphere,envoPolar,http://purl.obolibrary.org/obo/ENVO_01000822
range of mounts,,,,,,range (physiographic),envoPolar,http://purl.obolibrary.org/obo/ENVO_00000478
inlet,"An opening of the sea into the land, or of a lake into its shore.",,,,,ria|anse|arm|firth,envoPolar,http://purl.obolibrary.org/obo/ENVO_00000475
tunnel valley,"A deep but narrow valley with a 'U' shaped cross-section and frequently a 'U' shaped plan which is usually found filled with glacial till. It is formed when the edge of an ice mass advances up a slope. Its length may be appropriately measured in centimetres or kilometres, depending on the circumstances of formation.",,,,,rinnental|tunnel-vale,envoPolar,http://purl.obolibrary.org/obo/ENVO_00000436
first year ice,Sea ice which has formed over a single freezing season.,"Sea ice develops from young ice; thickness from 0.3 to 2 meters (1 to 6.6 feet).  Sea ice be subdivided into thin first-year ice (white ice), medium first-year ice, and thick first-year ice.  First-year ice is distinguished from older ice primarily by having a higher salinity. Undeformed first-year ice differs from older ice in that it is smoother and lacks refrozen melt ponds. Characteristically level where undisturbed by pressure, but where ridges occur, they  distinguished by being larger, more angular, and more porous than multiyear ridges.",,,,seasonal ice,envoPolar,http://purl.obolibrary.org/obo/ENVO_03000071
underground water,Water which has physicochemical properties determined by processes which occur beneath the planetary crust.,"This class references any water that's under a planetary surface. For water that is in an aquifer, see ""groundwater"" (ENVO:01001004). Previously, this class included both.",,,,subterranean water,envoPolar,http://purl.obolibrary.org/obo/ENVO_00005792
glacial valley,"A valley that contains, or contained, a glacier and was formed by glacial activity. Typically U-shaped in cross-section.",,,,,valley,envoPolar,http://purl.obolibrary.org/obo/ENVO_00000248
key biodiversity area,"An environmental zone which contains, as determined by an officially mandated selection process, one or more ecosystems which include, as parts, ecological communities of global significance for conservation due to their vulnerability and irreplaceability.","The selection process which determines the whether an area is an important site must follow the best practice specifications and guidelines developed by the International Union for Conservation of Nature (IUCN), using globally standardised criteria and thresholds. Note that the label 'important site' is chosen to align with SDGIO. The definition is that of ""key biodiversity area"".",,,Important Mammal Area|Important Plant Area|Ramsar Sites|Important Site for Freshwater Biodiversity|IUCN Important Site for Freshwater Biodiversity|Important Bird Area|Alliance for Zero Extinction Sites|Prime Butterfly Area|Ecologically and Biologically Significant Area,,envoPolar,http://purl.obolibrary.org/obo/ENVO_01000778
lake,A body of water or other liquid of considerable size contained in a depression on a landmass.,,,,catch basin|open water|tarn,pasteuer lake|llyn|lochan|loch|broad|mere|lough|mortlake,envoPolar,http://purl.obolibrary.org/obo/ENVO_00000020
glacial feature,A hydrographic feature characterized by the dominance of snow or ice.,"Likely to be depopulated and ""glacial"" made into a quality or similar.",,,glacer,LandIce|glacial landform|glacier feature|Ice,envoPolar,http://purl.obolibrary.org/obo/ENVO_00000131
ice field,"A field of ice, formed in regions of perennial frost.","Ice mass may need to be resolved from ice field, the former referring simply to an accumulation of ice.",,,icefall|ice patch|iceberg,IceSheet|ice field|ice sheet|icecap,envoPolar,http://purl.obolibrary.org/obo/ENVO_00000299
